"Yr","Movie","DavidScore","MargScore","RvwDate","Link"
"2009","Where The Wilds Things Are","3.5","4.0","2009-11-25","http://www.abc.net.au/atthemovies/txt/s2738632.htm",
"2009","Knowing","3.5","4.0","2009-03-25","http://www.abc.net.au/atthemovies/txt/s2514283.htm",
"2009","Public Enemies","3.5","3.0","2009-07-29","http://www.abc.net.au/atthemovies/txt/s2625733.htm",
"2009","A Serious Man","4.0","2.0","2009-11-18","http://www.abc.net.au/atthemovies/txt/s2738625.htm",
"2009","Easy Virtue","3.5","4.0","2009-03-11","http://www.abc.net.au/atthemovies/txt/s2502199.htm",
"2009","Transformers - Revenge Of The Fallen","2.5","2.0","2009-06-24","http://www.abc.net.au/atthemovies/txt/s2590325.htm",
"2009","Ghosts of Girlfriends Past","2.0","3.0","2009-05-13","http://www.abc.net.au/atthemovies/txt/s2552154.htm",
"2009","Blessed","4.5","","2009-09-09","http://www.abc.net.au/atthemovies/txt/s2658172.htm",
"2009","Year One","0.5","2.5","2009-06-17","http://www.abc.net.au/atthemovies/txt/s2589524.htm",
"2009","The Fox And The Child","3.0","3.5","2009-07-08","http://www.abc.net.au/atthemovies/txt/s2603261.htm",
"2009","Dorian Gray","2.0","3.0","2009-11-11","http://www.abc.net.au/atthemovies/txt/s2725421.htm",
"2009","Terminator Salvation","2.5","2.5","2009-06-03","http://www.abc.net.au/atthemovies/txt/s2563799.htm",
"2009","Antichrist","2.0","4.5","2009-11-25","http://www.abc.net.au/atthemovies/txt/s2739792.htm",
"2009","Race To Witch Mountain","1.5","3.0","2009-04-15","http://www.abc.net.au/atthemovies/txt/s2527217.htm",
"2009","The Topp Twins:Untouchable Girls","3.5","4.0","2009-11-18","http://www.abc.net.au/atthemovies/txt/s2725423.htm",
"2009","Cold Souls","3.5","4.0","2009-11-18","http://www.abc.net.au/atthemovies/txt/s2738624.htm",
"2009","Fantastic Mr Fox","3.5","3.5","2009-12-06","http://www.abc.net.au/atthemovies/txt/s2738627.htm",
"2009","Looking for Eric","3.0","4.0","2009-09-23","http://www.abc.net.au/atthemovies/txt/s2671663.htm",
"2009","Beautiful","2.0","3.5","2009-03-04","http://www.abc.net.au/atthemovies/txt/s2493420.htm",
"2009","A Film With Me In It","3.5","3.0","2009-04-22","http://www.abc.net.au/atthemovies/txt/s2527687.htm",
"2009","Cheri","3.5","3.5","2009-07-22","http://www.abc.net.au/atthemovies/txt/s2616241.htm",
"2009","The Ugly Truth","","3.0","2009-08-05","http://www.abc.net.au/atthemovies/txt/s2632336.htm",
"2009","Seraphine","4.0","4.0","2009-09-30","http://www.abc.net.au/atthemovies/txt/s2671856.htm",
"2009","GI Joe Rise of  Cobra","2.0","","2009-08-05","http://www.abc.net.au/atthemovies/txt/s2631031.htm",
"2009","The Soloist","4.0","3.0","2009-09-02","http://www.abc.net.au/atthemovies/txt/s2656437.htm",
"2009","Rachel Getting Married","2.5","4.0","2009-02-11","http://www.abc.net.au/atthemovies/txt/s2475988.htm",
"2009","Push","2.5","3.0","2009-09-02","http://www.abc.net.au/atthemovies/txt/s2656465.htm",
"2009","Watchmen","4.0","4.5","2009-03-04","http://www.abc.net.au/atthemovies/txt/s2493386.htm",
"2009","Coco Avant Chanel","2.5","3.0","2009-06-24","http://www.abc.net.au/atthemovies/txt/s2590342.htm",
"2009","Amelia","3.5","3.5","2009-11-11","http://www.abc.net.au/atthemovies/txt/s2732031.htm",
"2009","Coraline","4.0","4.0","2009-07-29","http://www.abc.net.au/atthemovies/txt/s2625742.htm",
"2009","Bronson","2.5","4.0","2009-08-05","http://www.abc.net.au/atthemovies/txt/s2632314.htm",
"2009","The International","3.5","3.5","2009-02-18","http://www.abc.net.au/atthemovies/txt/s2476075.htm",
"2009","W.","3.5","3.5","2009-02-25","http://www.abc.net.au/atthemovies/txt/s2476190.htm",
"2009","Anvil! The Story of Anvil","3.5","","2009-09-09","http://www.abc.net.au/atthemovies/txt/s2658167.htm",
"2009","The Limits Of Control","3.0","2.0","2009-07-22","http://www.abc.net.au/atthemovies/txt/s2616322.htm",
"2009","In The Loop","2.5","4.0","2009-12-06","http://www.abc.net.au/atthemovies/txt/s2750514.htm",
"2009","Departures","4.0","4.5","2009-10-14","http://www.abc.net.au/atthemovies/txt/s2692973.htm",
"2009","Lucky Country","2.0","4.0","2009-07-15","http://www.abc.net.au/atthemovies/txt/s2616219.htm",
"2009","New Moon : Web Only Review","1.5","2.5","2009-11-18","http://www.abc.net.au/atthemovies/txt/s2738615.htm",
"2009","The Hangover","3.5","3.5","2009-06-10","http://www.abc.net.au/atthemovies/txt/s2566510.htm",
"2009","Taking Woodstock","3.5","3.0","2009-08-26","http://www.abc.net.au/atthemovies/txt/s2656403.htm",
"2009","My Life In Ruins","1","1.5","2009-07-15","http://www.abc.net.au/atthemovies/txt/s2616193.htm",
"2009","A Christmas Carol","4.0","4.0","2009-11-04","http://www.abc.net.au/atthemovies/txt/s2725409.htm",
"2009","Fighting","2.5","3.0","2009-08-26","http://www.abc.net.au/atthemovies/txt/s2656421.htm",
"2009","State Of Play","4.5","4.0","2009-05-20","http://www.abc.net.au/atthemovies/txt/s2549456.htm",
"2009","Let The Right One In","4.0","4.0","2009-03-18","http://www.abc.net.au/atthemovies/txt/s2505981.htm",
"2009","Thirst","3.5","3.5","2009-07-01","http://www.abc.net.au/atthemovies/txt/s2608550.htm",
"2009","Noodle","3.5","3.5","2009-06-17","http://www.abc.net.au/atthemovies/txt/s2589598.htm",
"2009","Two Lovers","3.5","4.0","2009-06-03","http://www.abc.net.au/atthemovies/txt/s2563844.htm",
"2009","Stone Bros","3.0","3.0","2009-09-23","http://www.abc.net.au/atthemovies/txt/s2673400.htm",
"2009","Appaloosa","3.5","3.5","2009-03-11","http://www.abc.net.au/atthemovies/txt/s2502257.htm",
"2009","The Damned United","3.5","4.0","2009-10-14","http://www.abc.net.au/atthemovies/txt/s2693245.htm",
"2009","The Secret Life Of Bees","2.0","3.0","2009-03-04","http://www.abc.net.au/atthemovies/txt/s2493362.htm",
"2009","The Young Victoria","3.5","4.0","2009-08-26","http://www.abc.net.au/atthemovies/txt/s2656399.htm",
"2009","Gomorrah","3.5","4.0","2009-05-13","http://www.abc.net.au/atthemovies/txt/s2547604.htm",
"2009","The Girlfriend Experience","3.5","3.0","2009-09-02","http://www.abc.net.au/atthemovies/txt/s2656458.htm",
"2009","$9.99","3.5","4.0","2009-09-09","http://www.abc.net.au/atthemovies/txt/s2658175.htm",
"2009","The Marriage of Figaro","2.5","2.5","2009-10-28","http://www.abc.net.au/atthemovies/txt/s2709692.htm",
"2009","Star Trek","4.0","4.0","2009-05-06","http://www.abc.net.au/atthemovies/txt/s2547372.htm",
"2009","Monsters Vs. Aliens","3.5","3.5","2009-04-01","http://www.abc.net.au/atthemovies/txt/s2514385.htm",
"2009","Camino","4.5","3.5","2009-04-15","http://www.abc.net.au/atthemovies/txt/s2527715.htm",
"2009","Is Anybody There?","3.0","3.0","2009-06-10","http://www.abc.net.au/atthemovies/txt/s2566579.htm",
"2009","Encounters At The End Of The World (Web exclusive)","3.5","","2009-09-09","http://www.abc.net.au/atthemovies/txt/s2664782.htm",
"2009","Adventureland","3.5","4.0","2009-06-03","http://www.abc.net.au/atthemovies/txt/s2563748.htm",
"2009","Capitalism: A Love Story","3.5","3.5","2009-10-28","http://www.abc.net.au/atthemovies/txt/s2709688.htm",
"2009","Julie & Julia","3.5","4.0","2009-09-30","http://www.abc.net.au/atthemovies/txt/s2671837.htm",
"2009","Paranormal Activity","1.5","4.0","2009-12-06","http://www.abc.net.au/atthemovies/txt/s2751087.htm",
"2009","Amreeka","3.0","3.5","2009-11-18","http://www.abc.net.au/atthemovies/txt/s2738619.htm",
"2009","The Time Traveler's Wife","3.5","3.0","2009-11-04","http://www.abc.net.au/atthemovies/txt/s2725407.htm",
"2009","Samson & Delilah","5.0","5.0","2009-04-29","http://www.abc.net.au/atthemovies/txt/s2542612.htm",
"2009","Winged Creatures","3.5","3.0","2009-07-08","http://www.abc.net.au/atthemovies/txt/s2603273.htm",
"2009","Angels And Demons","3.5","3.5","2009-05-13","http://www.abc.net.au/atthemovies/txt/s2547626.htm",
"2009","Land Of The Lost","3.5","3.0","2009-06-10","http://www.abc.net.au/atthemovies/txt/s2566554.htm",
"2009","He's Just Not That Into You","2.5","2.0","2009-02-11","http://www.abc.net.au/atthemovies/txt/s2476016.htm",
"2009","Quiet Chaos","3.0","4.0","2009-05-20","http://www.abc.net.au/atthemovies/txt/s2548818.htm",
"2009","Duplicity","3.5","3.0","2009-03-18","http://www.abc.net.au/atthemovies/txt/s2502300.htm",
"2009","The Taking of Pelham 123","3.0","1.5","2009-08-26","http://www.abc.net.au/atthemovies/txt/s2656379.htm",
"2009","Four Of A Kind","","3.5","2009-06-17","http://www.abc.net.au/atthemovies/txt/s2590300.htm",
"2009","Coffin Rock","3.0","3.0","2009-10-21","http://www.abc.net.au/atthemovies/txt/s2709674.htm",
"2009","The Baader-Meinhof Complex","3.5","4.0","2009-05-06","http://www.abc.net.au/atthemovies/txt/s2547310.htm",
"2009","Brisbane International Film Festival Highlights","","","2009-07-29","http://www.abc.net.au/atthemovies/txt/s2631026.htm",
"2009","Inkheart","2.5","3.0","2009-04-01","http://www.abc.net.au/atthemovies/txt/s2514410.htm",
"2009","Subdivision","2.0","2.0","2009-08-19","http://www.abc.net.au/atthemovies/txt/s2642596.htm",
"2009","The Boys Are Back","3.5","4.0","2009-11-11","http://www.abc.net.au/atthemovies/txt/s2725416.htm",
"2009","Up In The Air","4.5","4.0","2009-12-06","http://www.abc.net.au/atthemovies/txt/s2750500.htm",
"2009","District 9","3.0","4.5","2009-08-12","http://www.abc.net.au/atthemovies/txt/s2642569.htm",
"2009","Mao's Last Dancer","3.0","3.5","2009-09-30","http://www.abc.net.au/atthemovies/txt/s2671834.htm",
"2009","Every Little Step","3.0","4.0","2009-07-01","http://www.abc.net.au/atthemovies/txt/s2603128.htm",
"2009","The Boat That Rocked","3.0","3.5","2009-04-08","http://www.abc.net.au/atthemovies/txt/s2527182.htm",
